timestamp_ms,exchange,symbol,interval_h,rate_raw,rate_per_hour,hour_bucket
1767128436321,Asterdex,ONDO,4.000000,0.0000025800,0.0000006450,490869
1767128436321,Asterdex,OP,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,OPEN,4.000000,0.0000024900,0.0000006225,490869
1767128436321,Asterdex,ORDI,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,PARTI,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,PENGU,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,PIEVERSE,1.000000,-0.0000505300,-0.0000505300,490869
1767128436321,Asterdex,PIPPIN,1.000000,-0.0006668300,-0.0006668300,490869
1767128436321,Asterdex,PORT3,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,POWER,1.000000,0.0000998500,0.0000998500,490869
1767128436321,Asterdex,PROVE,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,PTB,4.000000,0.0010900400,0.0002725100,490869
1767128436321,Asterdex,PUMP,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,PYTH,4.000000,-0.0000616000,-0.0000154000,490869
1767128436321,Asterdex,Q,4.000000,0.0001843900,0.0000460975,490869
1767128436321,Asterdex,QQQ,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,RAVE,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,RECALL,1.000000,-0.0002639800,-0.0002639800,490869
1767128436321,Asterdex,RIVER,1.000000,-0.0001634000,-0.0001634000,490869
1767128436321,Asterdex,RLS,1.000000,-0.0000224100,-0.0000224100,490869
1767128436321,Asterdex,RVV,1.000000,0.0001624800,0.0001624800,490869
1767128436321,Asterdex,SAHARA,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,SAPIEN,4.000000,-0.0001758000,-0.0000439500,490869
1767128436321,Asterdex,SBET,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,SEI,8.000000,0.0000188400,0.0000023550,490869
1767128436321,Asterdex,SENT,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,SENTIS,1.000000,0.0012253100,0.0012253100,490869
1767128436321,Asterdex,SKY,4.000000,-0.0003291100,-0.0000822775,490869
1767128436321,Asterdex,SKYAI,1.000000,0.0000513600,0.0000513600,490869
1767128436321,Asterdex,SOL,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,SPK,4.000000,-0.0002210000,-0.0000552500,490869
1767128436321,Asterdex,SQD,1.000000,-0.0005166400,-0.0005166400,490869
1767128436321,Asterdex,STABLE,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,STBL,4.000000,0.0000949500,0.0000237375,490869
1767128436321,Asterdex,SUI,8.000000,0.0001000000,0.0000125000,490869
